489,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
490,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
491,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
492,TVS iQube,145 km (Range),Rs. 1.17 lakhs
493,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
494,Hero Glamour,60 km/l,"Rs. 83,106"
495,Honda Unicorn,60 km/l,"Rs.1,09,679"
496,Hero Passion Plus,70 km/l,"Rs. 80,538"
497,Honda Livo,60 - 74 km/l,"Rs. 73,150"
498,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
499,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
500,TVS Sport,73 km/l,"Rs. 59,431"
501,Bajaj Platina 100,72 km/l,"Rs. 67,808"
502,Bajaj Platina 110,70 km/l,"Rs. 70,400"
503,Bajaj CT 110X,70 km/l,"Rs. 69,216"
504,Hero HF Deluxe,70 km/l,"Rs. 59,998"
505,TVS Radeon,69.3 km/l,"Rs. 62,405"
506,TVS Raider,67 km/l,"Rs. 95,219"
507,TVS Star City Plus,66.34 km/l,"Rs. 78,770"
508,Honda Shine 100,65 km/l,"Rs. 64,900"
509,Honda SP 125,65 km/l,"Rs. 86,017"
510,Honda CD 110 Dream,65 km/l,"Rs. 73,400"
511,Bajaj Pulsar NS 125,64.75 km/l,"Rs. 99,571"
512,Oben Rorr,200 km (Range),Rs. 1.50 lakhs
513,Ola S1 Pro,195 km (Range),Rs. 1.40 lakhs
514,Tork Kratos R,180 km (Range),Rs. 1.67 lakhs
515,Revolt RV 400,150 km (Range),Rs. 1.27 lakhs
516,Ather 450X 3rd Gen,150 km (Range),Rs. 1.26 lakhs
517,Hop Oxo,150 km (Range),Rs. 1.43 lakhs
518,TVS iQube,145 km (Range),Rs. 1.17 lakhs
519,Pure EV eTryst 350,90 km to 140 km (Range),Rs. 1.50 lakhs
520,Hero Glamour,60 km/l,"Rs. 83,106"
521,Honda Unicorn,60 km/l,"Rs.1,09,679"
522,Hero Passion Plus,70 km/l,"Rs. 80,538"
523,Honda Livo,60 - 74 km/l,"Rs. 73,150"
524,Hero Splendor Plus XTEC,83.2 km/l,"Rs. 79,911"
525,Hero Splendor Plus,80.6 km/l,"Rs. 75,141"
526,TVS Sport,73 km/l,"Rs. 59,431"
